 	Channel 4	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
1183.9843	0.0	1166.6475	S
1184.01045	0.0	1166.6475	S
1184.1423	0.0	1166.6475	S
1187.9827	0.0	1186.5	C
1188.17095	1.0	1186.5	C
1188.22145	1.0	1186.5	C
1188.25845	1.0	1186.5	C
1188.3217	1.0	1186.5	C
1188.3727	1.0	1186.5	C
1188.5557	0.0	1186.5	C
1188.80845	0.0	1186.5	C
1188.88985	1.0	1186.5	C
1188.93345	0.0	1186.5	C
1189.021	1.0	1186.5	C
1189.0907	1.0	1186.5	C
1189.20255	0.0	1186.5	C
1189.68425	1.0	1186.5	C
1190.4789	1.0	1186.5	C
1190.51645	1.0	1186.5	C
1190.5775	1.0	1186.5	C
1190.9303	1.0	1186.5	C
1190.9787	0.0	1186.5	C
1191.1235	0.0	1186.5	C
1191.35665	1.0	1186.5	C
1191.4044	1.0	1186.5	C
1191.70185	1.0	1186.5	C
1193.32535	1.0	1186.5	C
1193.5674	1.0	1186.5	C
1193.7807	1.0	1186.5	C
1194.02345	0.0	1186.5	C
1196.04305	1.0	1186.5	C
1196.1153	1.0	1186.5	C
1196.26655	1.0	1186.5	C
1196.82895	0.0	1186.5	C
1196.891	1.0	1186.5	C
1199.40505	0.0	1186.5	C
1206.5207	0.0	1186.5	C
1207.7991	0.0	1207.0025	H
1208.8827	1.0	1207.0025	H
1209.05675	1.0	1207.0025	H
1209.43535	1.0	1207.0025	H
1209.9413	1.0	1207.0025	H
1213.7186	1.0	1207.0025	H
1213.9579	1.0	1207.0025	H
1214.73385	1.0	1207.0025	H
1214.7958	1.0	1207.0025	H
1215.3816	1.0	1207.0025	H
1216.0787	0.0	1207.0025	H
1217.19345	0.0	1207.0025	H
1224.4531	1.0	1207.0025	H
1225.9674	1.0	1207.0025	H
1229.62805	0.0	1228.6975	A
1229.6876	1.0	1228.6975	A
1229.8966	0.0	1228.6975	A
1230.02845	1.0	1228.6975	A
1230.3651	1.0	1228.6975	A
1230.71825	1.0	1228.6975	A
1232.26015	1.0	1228.6975	A
1234.66905	1.0	1228.6975	A
1235.1412	1.0	1228.6975	A
1235.193	1.0	1228.6975	A
1237.33605	1.0	1228.6975	A
1238.57095	1.0	1228.6975	A
1239.3052	0.0	1228.6975	A
1239.7006	0.0	1228.6975	A
1242.8244	0.0	1228.6975	A
1242.84125	0.0	1228.6975	A
1242.85565	0.0	1228.6975	A
1243.32085	0.0	1228.6975	A
1243.62445	0.0	1228.6975	A
1243.8081	0.0	1228.6975	A
1244.3204	0.0	1228.6975	A
1244.50375	0.0	1228.6975	A
1245.12245	0.0	1228.6975	A
1245.3963	0.0	1228.6975	A
1245.579	0.0	1228.6975	A
1245.67595	1.0	1228.6975	A
1245.7571	0.0	1228.6975	A
1245.92125	0.0	1228.6975	A
1246.0993	0.0	1228.6975	A
1252.41005	0.0	1251.0	L
1252.4372	1.0	1251.0	L
1252.52175	1.0	1251.0	L
1252.5453	1.0	1251.0	L
1252.9179	1.0	1251.0	L
1253.04375	0.0	1251.0	L
1253.0762	1.0	1251.0	L
1253.1035	1.0	1251.0	L
1253.1291	0.0	1251.0	L
1253.1535	1.0	1251.0	L
1253.18975	1.0	1251.0	L
1253.2295	1.0	1251.0	L
1253.32115	1.0	1251.0	L
1253.47385	1.0	1251.0	L
1253.54595	1.0	1251.0	L
1253.98445	1.0	1251.0	L
1254.9954	1.0	1251.0	L
1255.0607	1.0	1251.0	L
1255.25755	1.0	1251.0	L
1255.417	1.0	1251.0	L
1255.5499	1.0	1251.0	L
1255.5862	1.0	1251.0	L
1255.61815	1.0	1251.0	L
1255.65275	0.0	1251.0	L
1255.71415	1.0	1251.0	L
1256.1249	1.0	1251.0	L
