Spike.time.sec	Comment.time.sec	Comment	UnitName	UnitType	StimNumber	Stimulus	isi.sec
20.04595	12.215	love	SC-13-2	HFA	2	love	0.05424999999999969
20.0508	12.215	love	SC-13-2	HFA	2	love	0.0048499999999975785
20.08305	12.215	love	SC-13-2	HFA	2	love	0.03225000000000122
20.1006	12.215	love	SC-13-2	HFA	2	love	0.017549999999999955
20.1097	12.215	love	SC-13-2	HFA	2	love	0.009100000000000108
20.4013	12.215	love	SC-13-2	HFA	2	love	0.29159999999999897
20.4256	12.215	love	SC-13-2	HFA	2	love	0.02430000000000021
26.7781	24.25	attention	SC-13-2	HFA	3	attention	NA
26.7826	24.25	attention	SC-13-2	HFA	3	attention	0.0045000000000001705
26.7984	24.25	attention	SC-13-2	HFA	3	attention	0.015800000000002257
26.8997	24.25	attention	SC-13-2	HFA	3	attention	0.10129999999999839
27.1414	24.25	attention	SC-13-2	HFA	3	attention	0.24170000000000158
27.1974	24.25	attention	SC-13-2	HFA	3	attention	0.055999999999997385
27.20145	24.25	attention	SC-13-2	HFA	3	attention	0.004050000000002996
27.227	24.25	attention	SC-13-2	HFA	3	attention	0.025549999999999073
27.39565	24.25	attention	SC-13-2	HFA	3	attention	0.16864999999999952
27.4067	24.25	attention	SC-13-2	HFA	3	attention	0.011050000000000892
27.41675	24.25	attention	SC-13-2	HFA	3	attention	0.01004999999999967
27.57855	24.25	attention	SC-13-2	HFA	3	attention	0.1617999999999995
28.40185	24.25	attention	SC-13-2	HFA	3	attention	0.8232999999999997
28.42485	24.25	attention	SC-13-2	HFA	3	attention	0.022999999999999687
28.466	24.25	attention	SC-13-2	HFA	3	attention	0.041150000000001796
28.5044	24.25	attention	SC-13-2	HFA	3	attention	0.038399999999999324
28.59655	24.25	attention	SC-13-2	HFA	3	attention	0.09215000000000018
28.6006	24.25	attention	SC-13-2	HFA	3	attention	0.004049999999999443
28.6533	24.25	attention	SC-13-2	HFA	3	attention	0.05270000000000152
28.6596	24.25	attention	SC-13-2	HFA	3	attention	0.006299999999999528
28.8144	24.25	attention	SC-13-2	HFA	3	attention	0.15479999999999805
