UnitName,UnitType,StimNumber,Stimulus,isi.sec,Presentation,time.sec,IFF
SC-17-2,MS,4,sadness,0.225,1,6.392,4.444444444444445
SC-17-2,MS,4,sadness,0.142,1,6.534,7.042253521126761
SC-17-2,MS,4,sadness,0.137,1,6.671,7.2992700729927
SC-17-2,MS,4,sadness,0.164,1,6.835,6.097560975609756
SC-17-2,MS,4,sadness,0.273,1,7.108,3.663003663003663
SC-17-2,MS,4,sadness,0.16,1,7.268,6.25
SC-17-2,MS,4,sadness,0.176,1,7.444,5.6818181818181825
SC-17-2,MS,4,sadness,0.173,1,7.617,5.780346820809249
SC-17-2,MS,4,sadness,0.142,1,7.759,7.042253521126761
SC-17-2,MS,4,sadness,0.159,1,7.918,6.289308176100628
SC-17-2,MS,4,sadness,0.107,1,8.025,9.345794392523365
SC-17-2,MS,4,sadness,0.138,1,8.163,7.246376811594202
SC-17-2,MS,4,sadness,0.148,1,8.311,6.756756756756757
SC-17-2,MS,4,sadness,0.133,1,8.444,7.518796992481203
SC-17-2,MS,4,sadness,0.132,1,8.576,7.575757575757575
SC-17-2,MS,4,sadness,0.131,1,8.707,7.633587786259541
SC-17-2,MS,4,sadness,0.169,1,8.876,5.9171597633136095
SC-17-2,MS,4,sadness,0.137,1,9.013,7.2992700729927
SC-17-2,MS,4,sadness,0.148,1,9.161,6.756756756756757
SC-17-2,MS,4,sadness,0.171,1,9.332,5.847953216374268
SC-17-2,MS,4,sadness,0.268,1,9.6,3.731343283582089
SC-17-2,MS,4,sadness,0.309,1,9.909,3.236245954692557
SC-17-2,MS,4,sadness,0.178,1,10.087,5.617977528089888
SC-17-2,MS,4,sadness,0.193,1,10.28,5.181347150259067
SC-17-2,MS,4,sadness,0.188,1,10.468,5.319148936170213
SC-17-2,MS,4,sadness,0.185,1,10.653,5.405405405405405
SC-17-2,MS,4,sadness,0.216,1,10.869,4.62962962962963
SC-17-2,MS,4,sadness,0.499,1,11.368,2.004008016032064
SC-17-2,MS,4,sadness,0.197,1,11.565,5.0761421319796955
SC-17-2,MS,4,sadness,0.21,1,11.775,4.761904761904762
SC-17-2,MS,5,love,2.671,1,2.671,0.3743916136278548
SC-17-2,MS,5,love,0.699,1,3.3699999999999997,1.430615164520744
SC-17-2,MS,5,love,0.716,1,4.085999999999999,1.3966480446927374
SC-17-2,MS,5,love,0.647,1,4.733,1.5455950540958268
SC-17-2,MS,5,love,0.591,1,5.324,1.6920473773265652
SC-17-2,MS,5,love,1.155,1,6.479,0.8658008658008658
SC-17-2,MS,5,love,0.604,1,7.083,1.6556291390728477
SC-17-2,MS,5,love,0.621,1,7.704,1.6103059581320451
SC-17-2,MS,5,love,0.311,1,8.015,3.215434083601286
SC-17-2,MS,5,love,0.593,1,8.608,1.6863406408094437
SC-17-2,MS,5,love,0.859,1,9.467,1.1641443538998837
SC-17-2,MS,5,love,0.191,1,9.658,5.2356020942408374
SC-17-2,MS,5,love,1.061,1,10.719,0.942507068803016
SC-17-2,MS,5,love,0.232,1,10.951,4.310344827586206
SC-17-2,MS,5,love,0.504,1,11.455,1.9841269841269842
SC-17-2,MS,5,love,0.852,1,12.307,1.1737089201877935
SC-17-2,MS,5,love,0.714,1,13.020999999999999,1.400560224089636
SC-17-2,MS,5,love,1.093,1,14.113999999999999,0.9149130832570906
SC-17-2,MS,5,love,0.137,1,14.251,7.2992700729927
SC-17-2,MS,5,love,0.224,1,14.475,4.464285714285714
SC-17-2,MS,5,love,0.982,1,15.456999999999999,1.0183299389002036
SC-17-2,MS,5,love,1.15,1,16.607,0.8695652173913044
SC-17-2,MS,5,love,1.6,1,18.207,0.625
SC-17-2,MS,6,calming,2.526,1,2.526,0.39588281868566905
SC-17-2,MS,6,calming,1.52,1,4.045999999999999,0.6578947368421053
SC-17-2,MS,6,calming,1.672,1,5.718,0.5980861244019139
SC-17-2,MS,6,calming,3.128,1,8.846,0.319693094629156
SC-17-2,MS,6,calming,6.073,1,14.919,0.16466326362588504
SC-17-2,MS,6,calming,0.97,1,15.889,1.0309278350515465
SC-17-2,MS,6,calming,1.925,1,17.814,0.5194805194805194
SC-17-2,MS,6,calming,0.108,1,17.922,9.25925925925926
SC-17-2,MS,6,calming,1.048,1,18.97,0.9541984732824427
SC-17-2,MS,6,calming,1.198,1,20.168,0.8347245409015025
SC-17-2,MS,6,calming,0.223,1,20.391000000000002,4.484304932735426
SC-17-2,MS,6,calming,1.059,1,21.45,0.9442870632672333
SC-17-2,MS,7,gratitude,0.101,2,0.101,9.900990099009901
SC-17-2,MS,7,gratitude,0.079,2,0.18,12.658227848101266
SC-17-2,MS,7,gratitude,0.098,2,0.278,10.204081632653061
SC-17-2,MS,7,gratitude,0.117,2,0.395,8.547008547008547
SC-17-2,MS,7,gratitude,0.133,2,0.528,7.518796992481203
SC-17-2,MS,7,gratitude,0.138,2,0.666,7.246376811594202
SC-17-2,MS,7,gratitude,0.164,2,0.8300000000000001,6.097560975609756
SC-17-2,MS,7,gratitude,0.18,2,1.01,5.555555555555555
SC-17-2,MS,7,gratitude,0.176,2,1.186,5.6818181818181825
SC-17-2,MS,7,gratitude,1.27,2,2.456,0.7874015748031495
SC-17-2,MS,7,gratitude,2.201,2,4.657,0.45433893684688775
SC-17-2,MS,7,gratitude,0.417,2,5.074,2.3980815347721824
SC-17-2,MS,7,gratitude,2.452,2,7.526,0.4078303425774878
SC-17-2,MS,7,gratitude,6.439,2,13.965,0.15530361857431277
SC-17-2,MS,8,attention,0.397,2,0.397,2.5188916876574305
SC-17-2,MS,8,attention,0.336,2,0.7330000000000001,2.976190476190476
SC-17-2,MS,8,attention,0.394,2,1.127,2.5380710659898478
SC-17-2,MS,8,attention,0.33,2,1.457,3.0303030303030303
SC-17-2,MS,8,attention,0.333,2,1.79,3.003003003003003
SC-17-2,MS,8,attention,0.31,2,2.1,3.2258064516129035
SC-17-2,MS,8,attention,0.347,2,2.447,2.8818443804034586
SC-17-2,MS,8,attention,0.317,2,2.7640000000000002,3.1545741324921135
SC-17-2,MS,8,attention,0.358,2,3.122,2.793296089385475
SC-17-2,MS,8,attention,0.329,2,3.451,3.03951367781155
SC-17-2,MS,8,attention,0.304,2,3.755,3.2894736842105265
SC-17-2,MS,8,attention,0.325,2,4.08,3.0769230769230766
SC-17-2,MS,8,attention,0.304,2,4.384,3.2894736842105265
SC-17-2,MS,8,attention,0.308,2,4.692,3.2467532467532467
SC-17-2,MS,8,attention,0.278,2,4.97,3.5971223021582732
SC-17-2,MS,8,attention,0.271,2,5.241,3.6900369003690034
SC-17-2,MS,8,attention,0.252,2,5.493,3.9682539682539684
SC-17-2,MS,8,attention,0.268,2,5.761,3.731343283582089
SC-17-2,MS,8,attention,0.237,2,5.998,4.219409282700422
SC-17-2,MS,8,attention,0.258,2,6.256,3.875968992248062
SC-17-2,MS,8,attention,0.227,2,6.4830000000000005,4.405286343612334
SC-17-2,MS,8,attention,0.286,2,6.769,3.4965034965034967
SC-17-2,MS,8,attention,0.271,2,7.04,3.6900369003690034
SC-17-2,MS,8,attention,0.285,2,7.325,3.5087719298245617
SC-17-2,MS,8,attention,0.297,2,7.622,3.367003367003367
SC-17-2,MS,8,attention,0.268,2,7.89,3.731343283582089
SC-17-2,MS,8,attention,0.283,2,8.173,3.53356890459364
SC-17-2,MS,8,attention,0.28,2,8.453,3.571428571428571
SC-17-2,MS,8,attention,0.268,2,8.721,3.731343283582089
SC-17-2,MS,8,attention,0.271,2,8.992,3.6900369003690034
SC-17-2,MS,8,attention,0.274,2,9.266,3.64963503649635
SC-17-2,MS,8,attention,0.264,2,9.53,3.7878787878787876
SC-17-2,MS,8,attention,0.295,2,9.825,3.3898305084745766
SC-17-2,MS,8,attention,0.267,2,10.092,3.745318352059925
SC-17-2,MS,8,attention,0.27,2,10.362,3.7037037037037033
SC-17-2,MS,8,attention,0.273,2,10.635,3.663003663003663
SC-17-2,MS,8,attention,0.276,2,10.911,3.623188405797101
SC-17-2,MS,8,attention,0.259,2,11.17,3.861003861003861
SC-17-2,MS,8,attention,0.256,2,11.426,3.90625
SC-17-2,MS,8,attention,0.24,2,11.666,4.166666666666667
SC-17-2,MS,8,attention,0.258,2,11.924,3.875968992248062
SC-17-2,MS,8,attention,0.271,2,12.195,3.6900369003690034
SC-17-2,MS,8,attention,0.283,2,12.478,3.53356890459364
SC-17-2,MS,8,attention,0.259,2,12.737,3.861003861003861
SC-17-2,MS,8,attention,0.29,2,13.027000000000001,3.4482758620689657
SC-17-2,MS,8,attention,0.29,2,13.317,3.4482758620689657
SC-17-2,MS,8,attention,0.29,2,13.607,3.4482758620689657
SC-17-2,MS,8,attention,0.279,2,13.886000000000001,3.584229390681003
SC-17-2,MS,8,attention,0.27,2,14.156,3.7037037037037033
SC-17-2,MS,9,happiness,0.2,2,0.2,5
SC-17-2,MS,9,happiness,0.226,2,0.42600000000000005,4.424778761061947
SC-17-2,MS,9,happiness,0.24,2,0.666,4.166666666666667
SC-17-2,MS,9,happiness,0.243,2,0.909,4.11522633744856
SC-17-2,MS,9,happiness,0.295,2,1.204,3.3898305084745766
SC-17-2,MS,9,happiness,0.181,2,1.385,5.524861878453039
SC-17-2,MS,9,happiness,0.261,2,1.646,3.8314176245210727
SC-17-2,MS,9,happiness,0.302,2,1.948,3.3112582781456954
SC-17-2,MS,9,happiness,0.268,2,2.216,3.731343283582089
