"UnitName"	"UnitType"	"StimNumber"	"Stimulus"	"n.spikes"	"mean.freq"	"peak.freq"	"mean.isi.sec"	"sd.isi.sec"	"cv.isi.sec"
"SC-21-2"	"HFA"	16	"love"	146	13.8207120049564	217.391304348669	0.0723551724137929	0.2311243817013	3.19430351681729
"SC-21-2"	"HFA"	17	"gratitude"	139	13.8858841937383	253.164556959997	0.0720155797101446	0.15267588598272	2.12003967193245
"SC-21-2"	"HFA"	18	"sadness"	22	1.94846766935434	192.307692313922	0.513223809523803	0.849843319621202	1.65589223229868
"SC-21-2"	"HFA"	19	"happiness"	92	7.94943807955543	246.913580246514	0.125795054945056	0.20790604916844	1.65273626422952
"SC-21-2"	"HFA"	20	"calming"	126	10.5692156796428	217.391304348669	0.0946144000000004	0.25053501089894	2.64795856549256
"SC-21-2"	"HFA"	21	"attention"	84	8.77401622664448	350.877192972558	0.113972891566265	0.209056063244635	1.83426129118684
"SC-21-2"	"HFA"	22	"love"	148	12.3188830879333	250.000000005912	0.0811761904761906	0.258287857250778	3.18181791650515
"SC-21-2"	"HFA"	23	"gratitude"	150	12.650328781196	238.095238090557	0.0790493288590607	0.191498013272695	2.42251282884542
"SC-21-2"	"HFA"	24	"sadness"	20	1.93738178147351	119.760479040998	0.516160526315796	0.885512350842241	1.71557549579153
"SC-21-2"	"HFA"	25	"sadness"	18	1.485033915554	143.884892087144	0.673385294117639	0.984851351055817	1.46253765809707
"SC-21-2"	"HFA"	26	"happiness"	117	9.75306254571741	307.692307694202	0.102531896551725	0.188804439243661	1.84142150485253
"SC-21-2"	"HFA"	27	"calming"	118	9.81066259705849	150.37593984881	0.101929914529914	0.339888121429369	3.33452768009159
"SC-22-2"	"Field"	1	"calming"	2	2.47678018575851	2.47678018575851	0.40375	NA	NA
"SC-22-2"	"Field"	2	"gratitude"	73	12.3167456420959	178.571428571392	0.0811902777777778	0.188724790992421	2.32447524701136
"SC-22-2"	"Field"	3	"sadness"	62	7.34422124165498	202.020202020455	0.136161475409836	0.336806919761832	2.47358453445123
"SC-22-2"	"Field"	4	"attention"	42	8.75068031203645	206.185567010714	0.114276829268293	0.2919592129257	2.55484173646659
"SC-22-2"	"Field"	5	"love"	150	20.3080278042797	240.963855421939	0.0492416107382551	0.149891404992519	3.04399882021061
"SC-22-2"	"Field"	6	"happiness"	75	10.6355457184742	206.18556701011	0.0940243243243244	0.146133035477117	1.55420457979629
"SC-22-2"	"Field"	7	"gratitude"	60	8.23453059686389	200.000000000182	0.121439830508475	0.313303449189615	2.57990683845487
"SC-22-2"	"Field"	8	"sadness"	113	11.9967651579663	227.272727273991	0.083355803571429	0.165247595251142	1.98243659314661
"SC-22-2"	"Field"	9	"calming"	68	8.31796991874462	212.765957448752	0.120221641791045	0.28502052215106	2.3707921294774
"SC-22-2"	"Field"	10	"attention"	34	12.2781560442013	170.940170939895	0.0814454545454548	0.193395884200174	2.37454484451603
"SC-22-2"	"Field"	11	"happiness"	67	10.2099221880173	135.135135134801	0.0979439393939391	0.130925142298112	1.33673551531881
"SC-22-2"	"Field"	12	"love"	118	16.9523450744019	194.174757281001	0.0589888888888889	0.194790188530872	3.30215049308315
"SC-22-2"	"Field"	13	"love"	158	17.7821068965126	235.294117649476	0.0562363057324843	0.165034403523998	2.93465940506593
"SC-22-2"	"Field"	14	"sadness"	93	9.27073571349396	259.740259740266	0.107866304347826	0.30060542363746	2.78683343658578
"SC-22-2"	"Field"	15	"attention"	51	16.3190704657463	183.486238530325	0.0612779999999998	0.207787604018314	3.39090055188346
"SC-22-2"	"Field"	16	"calming"	76	8.04854884664296	161.290322579727	0.124246	0.290163889356491	2.33539823701762
"SC-22-2"	"Field"	17	"gratitude"	49	9.35089223096706	91.3242009129363	0.106941666666666	0.172972359842561	1.61744589582384
"SC-22-2"	"Field"	18	"happiness"	110	12.5039433307522	227.272727273991	0.0799747706422022	0.0877281777824569	1.09694816350199
"SC-22-2"	"Field"	19	"sadness"	126	11.8959249319553	198.01980197864	0.0840624000000003	0.21635663319636	2.57376226703448
"SC-22-2"	"Field"	20	"gratitude"	56	15.4048679382686	129.870129870133	0.064914545454545	0.132821366278424	2.04609560689952
"SC-22-2"	"Field"	21	"happiness"	91	12.6832911731339	175.438596491528	0.0788438888888891	0.0885265705773682	1.12280827119175
"SC-22-2"	"Field"	22	"love"	156	16.1174598883216	229.88505746889	0.0620445161290322	0.170813175129011	2.75307449853869
"SC-22-2"	"Field"	23	"attention"	40	11.411349904174	145.985401460156	0.0876320512820508	0.228692089732475	2.60968545625402
"SC-22-2"	"Field"	24	"calming"	82	8.45626233204931	128.205128205544	0.118255555555554	0.256290468267939	2.16725943287745
"SC-22-2"	"Field"	25	"gratitude"	60	11.1782649059321	178.571428572751	0.0894593220338982	0.292146800084363	3.26569432276339
"SC-22-2"	"Field"	26	"calming"	151	15.1899503288624	256.410256414825	0.0658330000000001	0.179036613539194	2.71955726670809
"SC-22-2"	"Field"	27	"happiness"	114	17.1461519786355	180.180180177428	0.0583221238938057	0.0867712502117287	1.48779304350651
"SC-22-2"	"Field"	28	"attention"	67	13.3900041590165	206.185567008902	0.0746825757575752	0.22747509626879	3.04589248511179
"SC-22-2"	"Field"	29	"love"	193	21.6213781376337	253.164556959997	0.0462505208333332	0.149756919967861	3.23795099535246
"SC-22-2"	"Field"	30	"sadness"	99	9.37843915976846	143.884892084791	0.106627551020408	0.160778281109157	1.50784932759438
"SC-22-2"	"Field"	31	"sadness"	122	14.4556146921611	175.438596489778	0.0691772727272728	0.177253929199515	2.56231450317979
"SC-22-2"	"Field"	32	"happiness"	166	17.7753837866953	194.174757283145	0.0562575757575759	0.085601642195264	1.52160204279219
"SC-22-2"	"Field"	33	"gratitude"	105	14.9727539069531	186.915887849724	0.0667879807692301	0.121871344604425	1.82474965107154
"SC-22-2"	"Field"	34	"love"	228	23.8897074300146	235.294117649476	0.0418590308370047	0.145865804629181	3.48469139663479
"SC-22-2"	"Field"	35	"attention"	66	11.8404634175219	222.222222221863	0.0844561538461553	0.240919604313931	2.85259976144295
"SC-22-2"	"Field"	36	"calming"	123	17.5902763259391	229.88505746889	0.0568495901639345	0.226456630906769	3.98343471349128
"SC-22-2"	"Field"	37	"happiness"	125	12.9807591650441	196.078431369318	0.0770370967741934	0.123249897321969	1.59987723425289
"SC-22-2"	"Field"	38	"calming"	91	10.3874519580347	202.020202019875	0.0962700000000003	0.295629279007917	3.07083493308317
"SC-22-2"	"Field"	39	"attention"	78	9.32225961887692	210.526315786894	0.10727012987013	0.25029282577714	2.33329470263683
"SC-22-2"	"Field"	40	"love"	131	13.6217654855898	263.157894732043	0.0734119230769229	0.19447527899372	2.6490966431971
"SC-22-2"	"Field"	41	"sadness"	114	10.0690576965917	170.940170939895	0.0993141592920351	0.185464678538056	1.86745454887952
"SC-22-2"	"Field"	42	"gratitude"	107	15.1262183027241	192.307692305513	0.0661103773584906	0.109996420659728	1.66382987141733
"SC-22-2"	"Field"	43	"sadness"	101	9.53857159890297	161.290322579727	0.104837500000001	0.186870955633412	1.78248199006472
"SC-22-2"	"Field"	44	"happiness"	117	12.5182783050683	196.078431373689	0.0798831896551721	0.130341628530561	1.63165278068139
"SC-22-2"	"Field"	45	"calming"	69	8.42381710406508	190.476190474508	0.118711029411765	0.377248422431803	3.17787171336259
"SC-22-2"	"Field"	46	"attention"	53	7.6721625908302	194.174757278858	0.130341346153848	0.41912643135796	3.2156061274927
"SC-22-2"	"Field"	47	"love"	134	18.3761303738094	246.913580246514	0.054418421052631	0.158757417802563	2.91734700734923
"SC-22-2"	"Field"	48	"gratitude"	87	12.5968566448417	166.666666664292	0.0793848837209312	0.119869495965102	1.50997885676183
"SC-22-2"	"Field"	49	"attention"	49	9.35572209607162	196.078431373689	0.106886458333333	0.24244482279471	2.26824638569864
"SC-22-2"	"Field"	50	"gratitude"	118	12.9848510071583	161.290322579727	0.0770128205128203	0.192697886549829	2.50215334624383
"SC-22-2"	"Field"	51	"sadness"	185	17.6725959506704	160.000000002328	0.0565847826086958	0.168858949567778	2.98417598836596
"SC-22-2"	"Field"	52	"calming"	91	10.2362876396827	210.526315786894	0.0976916666666663	0.304305364655088	3.11495724290802
"SC-22-2"	"Field"	53	"happiness"	141	15.6315422191206	210.526315786894	0.0639732142857148	0.100100872039755	1.56473100746021
"SC-22-2"	"Field"	54	"love"	248	25.9767576379032	212.765957438459	0.0384959514170037	0.145100943430278	3.76925204051943
"SC-22-2"	"Field"	55	"attention"	71	12.8537064580695	222.222222221863	0.0777985714285705	0.197272468452946	2.53568240175295
"SC-22-2"	"Field"	56	"calming"	124	15.6585170238636	227.272727271055	0.0638630081300802	0.277927430809934	4.35193140673602
"SC-22-2"	"Field"	57	"sadness"	138	13.0929455782636	159.999999996508	0.0763770072992711	0.213570646633561	2.79626885348779
"SC-22-2"	"Field"	58	"gratitude"	100	13.9054708898096	219.780219785966	0.0719141414141416	0.190259088661711	2.64564221890713
"SC-22-2"	"Field"	59	"happiness"	132	17.4744719307957	208.333333326417	0.0572263358778629	0.0803874101146012	1.40472754163696
"SC-22-2"	"Field"	60	"love"	159	17.1831583297534	243.902439017984	0.058196518987342	0.152264127195073	2.61637860553465
"SC-27-3"	"SA-II"	1	"happiness"	111	10.8005675207297	476.190476206892	0.0925877272727276	0.168201042086572	1.81666671211311
"SC-27-3"	"SA-II"	2	"gratitude"	97	8.99832687359698	192.307692305513	0.111131770833333	0.174382499441794	1.56915073101211
"SC-27-3"	"SA-II"	3	"calming"	69	5.78137885885785	151.515151516646	0.172969117647058	0.402786661804433	2.32866229118608
"SC-27-3"	"SA-II"	4	"attention"	67	6.32117305647872	465.116279088144	0.158198484848485	0.283210295468246	1.79022128903125
"SC-27-3"	"SA-II"	5	"love"	71	6.83563710579124	136.986301370116	0.146292142857143	0.27547161097264	1.88302396555667
"SC-27-3"	"SA-II"	6	"sadness"	167	15.0509556450151	175.438596489778	0.0664409638554214	0.0946195188219412	1.42411418094171
"SC-27-3"	"SA-II"	7	"attention"	84	8.11890776236059	487.804878063021	0.123169277108433	0.291382427009937	2.36570704846645
"SC-27-3"	"SA-II"	8	"calming"	101	9.69814522972484	263.157894732043	0.1031125	0.330284442868204	3.2031464940546
"SC-27-3"	"SA-II"	9	"sadness"	154	15.9388282356863	62.8930817610545	0.0627398692810457	0.0675648049924464	1.07690382155224
"SC-27-3"	"SA-II"	10	"happiness"	76	7.72749752720079	526.315789479831	0.129408	0.207660634833511	1.60469704217291
"SC-27-3"	"SA-II"	11	"gratitude"	116	11.3139978749361	246.913580246514	0.0883860869565217	0.164003327890367	1.85553330323405
"SC-27-3"	"SA-II"	12	"love"	87	7.54266870143312	196.078431373689	0.132579069767442	0.258895803645036	1.95276527508578
"SC-27-3"	"SA-II"	13	"happiness"	76	6.60034057757378	454.54545454211	0.151507333333334	0.258116700598636	1.70365813271064
"SC-27-3"	"SA-II"	14	"calming"	132	13.3922866562732	232.558139537924	0.0746698473282442	0.207258393601902	2.77566381903537
"SC-27-3"	"SA-II"	15	"sadness"	186	17.4815262789863	69.2041522490835	0.057203243243243	0.0740926855310777	1.29525322919221
"SC-27-3"	"SA-II"	16	"love"	101	11.040269382573	196.078431369318	0.0905774999999994	0.295189945814301	3.25897652081701
"SC-27-3"	"SA-II"	17	"attention"	75	6.32384045121459	465.11627906355	0.158131756756756	0.37147976194201	2.34917874537645
"SC-27-3"	"SA-II"	18	"gratitude"	179	3.48082515111279	100.000000000091	0.287288202247191	3.00397403549589	10.4563083760439
"SC-27-3"	"SA-II"	19	"calming"	145	13.3860097606321	153.846153847101	0.0747048611111115	0.123118065360708	1.64805962462857
"SC-27-3"	"SA-II"	20	"attention"	73	6.46392099652111	476.190476155334	0.154704861111112	0.30383242580244	1.96394879656833
"SC-27-3"	"SA-II"	21	"happiness"	122	11.9240017344002	392.156862721153	0.0838644628099175	0.172706071529773	2.05934749646246
"SC-27-3"	"SA-II"	22	"sadness"	185	16.6832138760817	150.375939853951	0.0599404891304353	0.106655174693172	1.77935109039704
"SC-27-3"	"SA-II"	23	"gratitude"	147	15.1866607029553	208.333333326417	0.0658472602739718	0.165522335067629	2.51373154143298
"SC-27-3"	"SA-II"	24	"love"	92	9.69007725440694	180.18018018481	0.103198351648354	0.190754594156198	1.8484267540066
"SC-27-3"	"SA-II"	25	"happiness"	83	8.2105505574664	487.804878035969	0.121794512195121	0.230975494933187	1.89643597868475
"SC-27-3"	"SA-II"	26	"gratitude"	164	14.9763181227232	144.927536230058	0.0667720858895702	0.155087279697648	2.32263643753972
