 	Spikes	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
651.5429	1.0	 	 
653.16805	0.0	 	 
653.1837	0.0	 	 
653.18505	0.0	 	 
653.18605	0.0	 	 
653.20355	0.0	 	 
653.20455	0.0	 	 
653.20555	0.0	 	 
653.2237	0.0	 	 
653.22485	0.0	 	 
653.22605	0.0	 	 
653.24455	0.0	 	 
653.2657	0.0	 	 
653.588	0.0	 	 
654.03325	0.0	 	 
654.03445	0.0	 	 
654.0361	0.0	 	 
654.0534	0.0	 	 
654.0546	0.0	 	 
654.05675	0.0	 	 
654.07475	0.0	 	 
654.09475	0.0	 	 
654.1153	0.0	 	 
654.13445	0.0	 	 
655.1405	1.0	 	 
656.06655	1.0	 	 
656.32825	1.0	 	 
656.7653	1.0	 	 
657.40825	1.0	 	 
657.87125	1.0	 	 
658.44205	1.0	 	 
658.62835	1.0	 	 
658.84105	1.0	 	 
659.0236	1.0	 	 
659.20955	1.0	 	 
660.40945	1.0	660.0554	Happiness
660.7984	1.0	660.0554	Happiness
660.96845	1.0	660.0554	Happiness
661.08305	1.0	660.0554	Happiness
661.0858	1.0	660.0554	Happiness
661.0882	1.0	660.0554	Happiness
661.1043	1.0	660.0554	Happiness
661.11095	1.0	660.0554	Happiness
661.11775	1.0	660.0554	Happiness
661.12635	1.0	660.0554	Happiness
661.1388	1.0	660.0554	Happiness
661.2666	1.0	660.0554	Happiness
661.2786	1.0	660.0554	Happiness
661.3625	1.0	660.0554	Happiness
661.4278	1.0	660.0554	Happiness
661.54095	1.0	660.0554	Happiness
661.5649	1.0	660.0554	Happiness
661.5704	1.0	660.0554	Happiness
661.62255	1.0	660.0554	Happiness
661.7967	1.0	660.0554	Happiness
661.80075	1.0	660.0554	Happiness
661.8185	1.0	660.0554	Happiness
661.8286	1.0	660.0554	Happiness
661.84345	1.0	660.0554	Happiness
661.9004	1.0	660.0554	Happiness
662.48305	1.0	660.0554	Happiness
662.6566	1.0	660.0554	Happiness
662.6587	1.0	660.0554	Happiness
662.66095	1.0	660.0554	Happiness
662.6817	1.0	660.0554	Happiness
662.7032	1.0	660.0554	Happiness
662.76015	1.0	660.0554	Happiness
662.89895	1.0	660.0554	Happiness
662.9021	1.0	660.0554	Happiness
662.9843	1.0	660.0554	Happiness
662.9991	1.0	660.0554	Happiness
663.0042	1.0	660.0554	Happiness
663.00925	1.0	660.0554	Happiness
663.026	1.0	660.0554	Happiness
663.18635	1.0	660.0554	Happiness
663.285	1.0	660.0554	Happiness
663.2884	1.0	660.0554	Happiness
663.31815	1.0	660.0554	Happiness
663.9776	1.0	660.0554	Happiness
