 	Spikes	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
7795.752446	1.0	 	 
7795.777146	1.0	 	 
7795.801246	1.0	 	 
7795.824796	1.0	 	 
7795.847396	1.0	 	 
7795.869146	1.0	 	 
7795.890196	1.0	 	 
7795.910996	1.0	 	 
7795.953696	1.0	 	 
7795.975896	1.0	 	 
7795.998596	1.0	 	 
7796.021596	1.0	 	 
7796.045546	1.0	 	 
7796.070446	1.0	 	 
7796.096296	1.0	 	 
7796.121946	1.0	 	 
7796.146946	1.0	 	 
7796.173196	1.0	 	 
7796.204296	1.0	 	 
7796.237746	1.0	 	 
7796.270796	1.0	 	 
7796.303346	1.0	 	 
7796.335246	1.0	 	 
7796.366896	1.0	 	 
7796.402846	1.0	 	 
7796.436246	1.0	 	 
7796.471496	1.0	 	 
7796.512596	1.0	 	 
7796.547796	1.0	 	 
7796.584596	1.0	 	 
7796.631096	1.0	 	 
7796.672896	1.0	 	 
7796.712996	1.0	 	 
7796.764646	1.0	 	 
7796.822046	1.0	 	 
7796.863096	1.0	 	 
7796.915396	1.0	 	 
7796.975396	1.0	 	 
7797.043746	1.0	 	 
7797.099396	1.0	 	 
7797.151046	1.0	 	 
7797.199646	1.0	 	 
7797.247446	1.0	 	 
7797.286996	1.0	 	 
7797.344996	1.0	 	 
7797.387446	1.0	 	 
7797.437396	1.0	 	 
7797.490596	1.0	 	 
7797.554546	1.0	 	 
7797.592546	1.0	 	 
7797.636146	1.0	 	 
7797.720346	1.0	 	 
7797.785646	1.0	 	 
7797.883596	1.0	 	 
7797.956546	1.0	 	 
7798.044096	1.0	 	 
7798.103896	1.0	 	 
7798.219246	1.0	 	 
7798.324546	1.0	 	 
7798.433696	1.0	 	 
7798.599946	1.0	 	 
7798.700646	1.0	 	 
7798.809646	1.0	 	 
7798.940246	1.0	 	 
7799.083696	1.0	 	 
7799.198746	1.0	 	 
7799.311446	1.0	 	 
7799.434796	1.0	 	 
7799.584346	1.0	 	 
7799.759446	1.0	 	 
7799.993846	1.0	 	 
7800.260846	1.0	 	 
7800.384596	1.0	 	 
7800.799696	0.0	 	 
7801.933646	0.0	 	 
7803.765146	0.0	 	 
7830.407646	0.0	 	 
7833.416346	1.0	 	 
7833.463946	1.0	 	 
7833.508696	1.0	 	 
7833.555996	1.0	 	 
7833.644546	1.0	 	 
7833.728896	1.0	 	 
7833.836596	1.0	 	 
7838.651496	0.0	 	 
7844.811846	1.0	 	 
7844.856696	1.0	 	 
7844.890096	1.0	 	 
7844.919946	1.0	 	 
7844.948396	1.0	 	 
7844.975996	1.0	 	 
7845.001696	1.0	 	 
7845.025596	1.0	 	 
7845.049096	1.0	 	 
7845.074546	1.0	 	 
7845.104196	1.0	 	 
7845.138646	1.0	 	 
7845.172296	1.0	 	 
7845.212596	1.0	 	 
7845.257746	1.0	 	 
7845.327696	1.0	 	 
7845.421796	1.0	 	 
7849.167596	0.0	 	 
7852.309696	1.0	 	 
7852.344496	0.0	 	 
7853.915746	0.0	 	 
7854.648496	1.0	 	 
7854.780996	1.0	 	 
7854.849996	1.0	 	 
7855.228046	0.0	 	 
7855.293996	1.0	 	 
7855.393946	1.0	 	 
7861.280546	1.0	 	 
7864.955546	1.0	 	 
7865.612146	1.0	 	 
7869.351896	1.0	 	 
7869.554046	1.0	 	 
7883.311096	0.0	 	 
7885.028946	0.0	 	 
7886.388246	1.0	 	 
7886.421746	0.0	 	 
7886.525146	1.0	 	 
7886.578696	1.0	 	 
7886.801596	0.0	 	 
7887.308596	1.0	 	 
7887.369846	1.0	 	 
7887.451296	1.0	 	 
7887.677896	1.0	 	 
7887.843596	1.0	 	 
7887.918846	1.0	 	 
7893.602596	0.0	 	 
7894.715246	0.0	 	 
7894.745446	0.0	 	 
7895.220796	0.0	 	 
7898.153746	0.0	 	 
7898.154896	0.0	 	 
7898.242396	0.0	 	 
7898.243446	0.0	 	 
7898.274846	0.0	 	 
7898.755146	0.0	 	 
7898.756496	0.0	 	 
7899.088896	1.0	 	 
8087.023746	1.0	 	 
8088.003696	1.0	 	 
8088.229246	1.0	 	 
8088.847946	1.0	 	 
8091.171846	1.0	 	 
8091.504296	1.0	 	 
8092.423846	0.0	 	 
8092.578446	1.0	 	 
8093.215596	1.0	 	 
8093.587346	0.0	 	 
8093.972946	1.0	 	 
8095.094896	1.0	 	 
8095.961696	1.0	 	 
8096.332146	1.0	 	 
