 	Spike markers	 	 
Time	Value	Cmt Time	Cmt Text
s	V	s	 
39.53695	1.0	36.43	calming
39.61635	0.0	36.43	calming
39.73715	0.0	36.43	calming
39.7678	1.0	36.43	calming
39.884	1.0	36.43	calming
39.905	1.0	36.43	calming
39.93915	0.0	36.43	calming
39.9489	1.0	36.43	calming
40.06095	1.0	36.43	calming
40.11095	0.0	36.43	calming
40.12075	1.0	36.43	calming
40.21725	1.0	36.43	calming
40.30015	1.0	36.43	calming
40.3787	0.0	36.43	calming
40.44765	1.0	36.43	calming
40.46125	1.0	36.43	calming
40.4772	1.0	36.43	calming
40.50465	1.0	36.43	calming
40.51765	1.0	36.43	calming
40.52385	1.0	36.43	calming
40.5576	1.0	36.43	calming
40.5716	1.0	36.43	calming
40.57815	1.0	36.43	calming
40.58865	1.0	36.43	calming
40.60025	1.0	36.43	calming
40.60655	1.0	36.43	calming
40.6219	1.0	36.43	calming
40.6284	1.0	36.43	calming
40.65895	1.0	36.43	calming
40.6731	1.0	36.43	calming
40.70925	1.0	36.43	calming
40.72505	1.0	36.43	calming
40.73675	1.0	36.43	calming
40.7539	1.0	36.43	calming
40.77655	1.0	36.43	calming
40.78955	0.0	36.43	calming
40.80695	0.0	36.43	calming
40.8215	1.0	36.43	calming
40.86145	1.0	36.43	calming
40.877	1.0	36.43	calming
40.8988	1.0	36.43	calming
40.9223	1.0	36.43	calming
40.93395	1.0	36.43	calming
40.95345	0.0	36.43	calming
40.97675	1.0	36.43	calming
41.02905	1.0	36.43	calming
41.03315	1.0	36.43	calming
41.11705	0.0	36.43	calming
41.12745	1.0	36.43	calming
41.1842	1.0	36.43	calming
41.206	0.0	36.43	calming
41.22395	1.0	36.43	calming
41.2465	1.0	36.43	calming
41.31415	1.0	36.43	calming
41.34915	1.0	36.43	calming
41.3707	0.0	36.43	calming
41.39695	1.0	36.43	calming
41.4323	1.0	36.43	calming
41.456	1.0	36.43	calming
41.48225	1.0	36.43	calming
41.49825	0.0	36.43	calming
41.55335	1.0	36.43	calming
41.5722	1.0	36.43	calming
41.60815	1.0	36.43	calming
41.6251	1.0	36.43	calming
41.6318	1.0	36.43	calming
41.65135	0.0	36.43	calming
41.684	1.0	36.43	calming
41.6915	1.0	36.43	calming
41.7124	0.0	36.43	calming
43.21455	1.0	36.43	calming
43.5528	1.0	36.43	calming
43.58875	1.0	36.43	calming
43.7845	1.0	36.43	calming
43.79925	1.0	36.43	calming
43.8858	1.0	36.43	calming
43.9177	1.0	36.43	calming
44.0309	0.0	36.43	calming
44.08985	0.0	36.43	calming
44.1531	0.0	36.43	calming
44.19575	1.0	36.43	calming
